date,accountName,debit,credit,currencyId,localDateTime
2023-01-01,Revenue Account,0,1000,USD,2023-01-01T10:00:00
2023-01-02,Expense Account,500,0,USD,2023-01-02T11:30:00
2023-01-03,Payroll Expense,700,0,USD,2023-01-03T14:15:00
2023-01-04,Legal Fees,300,0,USD,2023-01-04T09:45:00
2023-01-05,Digital Asset Account,2000,1500,,2023-01-05T16:20:00
2023-01-06,Other Account,100,200,USD,2023-01-06T13:10:00
2023-02-15,Revenue Account,0,1500,USD,2023-02-15T10:30:00
2023-02-20,Expense Account,600,0,USD,2023-02-20T11:45:00
2023-03-10,Payroll Expense,750,0,USD,2023-03-10T14:00:00
2023-04-05,Legal Fees,350,0,USD,2023-04-05T09:30:00
2023-04-15,Digital Asset Account,2500,1800,,2023-04-15T16:00:00
2023-04-25,Other Account,150,250,USD,2023-04-25T13:00:00
